ANO;MES;TRIMESTRE;RAZON_SOCIAL_anonimizado;ID_anonimizado;FECHA_EMISION;FECHA_VIGENCIA;vigencia_enanos;anos_paraVCMTO;AREA;ESPECIE;AMBITO;TIPO_DERECHO;CATEGORIA_PRODUCTIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;FECHA_CORTE;FECHA_PUB_PNDA
2014;8;3;EAB10582F44F20D67F8C0ACA3F49D50D3F3ECE426C0FB353A5562A08855CDFBA;121650;20140819;20240819;10;0;0.08;GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;BAGUA GRANDE;20240331;29/04/2024
2014;8;3;EAB10582F44F20D67F8C0ACA3F49D50D3F3ECE426C0FB353A5562A08855CDFBA;121665;20140819;20240819;10;0;0.5775;GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;BAGUA GRANDE;20240331;29/04/2024
2014;9;3;A1991BA9E0394955D2F280DE8B4E818D8C996CC0858C68972A14537E02CCDA7E;121680;20140918;20240918;10;0;0.12;GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;CAJARURO;20240331;29/04/2024
2014;9;3;DA85B6A3085B3FBB2633F9C67C4F50781ED54846F4D903DD7191326239E34A58;121695;20140918;20240918;10;0;0.08;GAMITANA, PACO, BOQUICHICO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;CAJARURO;20240331;29/04/2024
2014;9;3;2DABBAF8E25E05C67A50B38D07AD62AA1B410103468DA955461A33B604DC6396;121710;20140918;20240918;10;0;0.12;BOQUICHICO, GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;BAGUA GRANDE;20240331;29/04/2024
2014;9;3;04F47CCF9088D2E20B43902DABE34C33F4442B99598C8DD4F7E868EAE17510DB;121725;20140924;20240924;10;0;0.027;BOQUICHICO, PACO, GAMITANA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;CAJARURO;20240331;29/04/2024
2014;9;3;BEE1B4D7035A7D82D98ED708E22F4A61A02387D0B4EB3D8179AF34F32CE29441;121740;20140924;20240924;10;0;0.03;BOQUICHICO, GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;CAJARURO;20240331;29/04/2024
2014;9;3;34F53988AF48CD1C599E9E34773EA120F8C8E9B0F633A865AA5A53087516DCE8;121755;20140924;20240924;10;0;0.45;BOQUICHICO, GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;BAGUA GRANDE;20240331;29/04/2024
2014;9;3;48E3DC7601E9D7460F12CD3490E828B3A380C9F6946B21C68E8DDF7FEB660FDC;121770;20140924;20240924;10;0;0.0525;BOQUICHICO, GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;CAJARURO;20240331;29/04/2024
2014;9;3;0E19AEC73087E9585F23ACB9041C4AD3BF72D5DE9E64B3F608253DAD235599C7;121785;20140924;20240924;10;0;0.054;BOQUICHICO, GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);AMAZONAS;UTCUBAMBA;CAJARURO;20240331;29/04/2024
